"dataset","No_of_Cities","tour_length","TC_mean","TC_vc","TC_skew","LMTL_mean","LMTL_vc","LMTL_skew","IPS_mean","IPS_vc","IPS_skew","STLM_mean","STLM_vc","STLM_skew","DBLM_mean","DBLM_vc","DBLM_skew","POELM_mean","POELM_vc","POELM_skew","IPC_mean","IPC_vc","IPC_skew","Ratio_UBLB","Pct_int","Pct_nonint","Min_nonint","Max_nonint","q25_nonint","q50_nonint","q75_nonint"
"pr144.tsp",144,93523.54214,58537,0,NA,58537,0,NA,110.9312903,0.9007381417,0.186122041,26.75,71.74284992,0.6643697851,0.9930555556,0,NA,0.006944444444,0,NA,"-7.138463197",-2442.607568,1.29363146,1.180324233,1,0,-Inf,Inf,NA,NA,NA
"pr152.tsp",152,160979.7861,73688.8,0.0004126885564,3.823676242,73688.8,0.0004126885564,3.823676242,24.85907934,0.6492054073,-0.1402561603,39.95,67.58923784,0.6976602788,0.9934210526,0,NA,0.006578947368,0,NA,"-26.95852174",-727.1014024,-3.744073728,1.487443475,1,0,-Inf,Inf,NA,NA,NA
"pr226.tsp",226,110416.1062,80369,0,NA,80369,0,NA,16.24324324,0,NA,49.75,55.79140227,0.0906012116,0.9955752212,0,NA,0.004424778761,0,NA,"-3.267934976",-4638.026298,2.229836592,1.170936746,1,0,-Inf,Inf,NA,NA,NA
"pr2392.tsp",2392,378062.8262,382762.7,0.0007306456842,-0.4725328485,382762.7,0.0007306456842,-0.4725328485,87.58339011,0.429769862,-0.3887433487,95.9,3.431841941,-1.355243592,0.9995819398,0,NA,0.0004180602007,0,NA,"8.33561853",899.1473507,4.128336175,1.02606129,1,0,-Inf,Inf,NA,NA,NA
"pr264.tsp",264,77976.15336,49183.6,0.002027608711,1.388918194,49183.6,0.002027608711,1.388918194,15.99238095,0.01166995386,-1.388918194,50.7,41.76275655,0.306291713,0.9962121212,0,NA,0.003787878788,0,NA,"-53.05668627",-672.8751394,-3.997655467,1.230312743,1,0,-Inf,Inf,NA,NA,NA
"pr299.tsp",299,83507.79337,48221.8,0.0008930343263,0.5823927529,48221.8,0.0008930343263,0.5823927529,8.789825581,0.6879193358,0.5823927529,44.8,50.25048863,0.2560640457,0.9966555184,0,NA,0.003344481605,0,NA,"NaN",NA,NA,1.041517182,0.7362318841,0.2637681159,0.978723,0.021277,0.170213,0.553191,0.829787
"pr439.tsp",439,270651.6048,107382.35,0.0004511606238,-0.5823927529,107382.35,0.0004511606238,-0.5823927529,52.01631579,0.1300260681,0.5823927529,78.35,20.39713678,-0.9932394217,0.9977220957,0,NA,0.002277904328,0,NA,"NaN",NA,NA,1.058622281,0.6252285192,0.3747714808,0.999188,0.000812,0.102273,0.443182,0.846591
"pr76.tsp",76,150779.8631,108159,0,NA,108159,0,NA,390.3333333,0,NA,2.75,118.4942503,1.555766984,0.9868421053,0,NA,0.01315789474,0,NA,"NaN",NA,NA,1.059447546,1,0,-Inf,Inf,NA,NA,NA
"rat195.tsp",195,4102.481626,2330,0,NA,2330,0,NA,0.1052631579,0,NA,54.25,50.66830782,-0.1134308381,0.9948717949,0,NA,0.005128205128,0,NA,"0.3680626273",1311.609198,8.551599182,1.019487629,0.4296028881,0.5703971119,0.970588,0.029412,0.125,0.477941,0.794118
"rat575.tsp",575,13233.46297,6800.7,0.001295232657,-0.5823927529,6800.7,0.001295232657,-0.5823927529,1.384714286,0.0760174428,-0.5823927529,81.6,19.63765149,-0.8640727796,0.9982608696,0,NA,0.001739130435,0,NA,"0.01357872454",5564.098418,5.590265195,1.010654944,0.5464190981,0.4535809019,0.99995,1e-04,0.076892,0.4202775,0.90625175
"rat783.tsp",783,72533.99006,8832.4,9.29e-05,1.388918194,8832.4,9.29e-05,1.388918194,1.082745826,0.17615324,1.388918194,78.8,24.95501947,-0.7507286729,0.9987228608,0,NA,0.001277139208,0,NA,"-0.03028060319",-1740.997632,2.906460437,1.011207637,0.6466321244,0.3533678756,0.999863,0.000137,0.002462,0.17264,0.995075
